street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
OBSTALLEE,2,2017,23,13.1664109525559,52.5212353494061,0.3208014536854052,1,726.643669422972,1220.1789933837576,4999742
PÄWESINER WEG,1,2017,23,13.1797037242449,52.5297957706449,0.0,1,873.143612259631,1746.287224519262,9933148
PICHELSDORFER STR.,1,2017,23,13.1978356955311,52.5208998409428,0.1527013459450306,1,1833.06156775378,3386.21216691145,4579715
PICHELSDORFER STR. / WEIßENBURGER STR.,1,2017,23,13.1976948,52.52289805,,2,,,4579715-4609211
PICHELSWERDERSTR. / RUHLEBENER STR. / SCHULENBURGSTR.,1,2017,23,13.211533375,52.527292725,,3,,,4497945-4588817-4588818
POTSDAMER CHAUSSEE,1,2017,23,13.1432556085122,52.491244879929,0.0,1,5205.88449021222,10411.76898042444,23133780
POTSDAMER CHAUSSEE / AM LANDSCHAFTSPARK GATOW,1,2017,23,13.1262297,52.4785614,,2,,,4898661-23133780
REX-WAITE-STR. / AM LANDSCHAFTSPARK GATOW,1,2017,23,13.1279464,52.4746832,,2,,,4694931-4898661
RITTERFELDDAMM,1,2017,23,13.1293749579119,52.4650975330875,0.0,1,3806.29591480587,7612.59182961174,4449163
RITTERFELDDAMM / SELBITZER STR.,1,2017,23,13.1300636,52.4642306,,2,,,4449163-4900137
RUHLEBENER STR.,1,2017,23,13.2086426048341,52.5283755779655,0.8532011681366259,1,3275.09070281235,3755.8701922318005,4497945
SAKROWER LANDSTR.,2,2017,23,13.130613231341,52.4497746372464,0.05775827904038848,1,2209.96811271675,4292.292270508845,23045306
SANDSTR.,2,2017,23,13.1687010294657,52.5173730085878,0.0,1,705.344338428888,1410.688676857776,4999754
SCHARFE LANKE,1,2017,23,13.1877621493012,52.5064491929811,0.0,1,1304.40312792173,2608.80625584346,24049813
SCHMIDT-KNOBELSDORF-STR. / SEEBURGER STR. / SEEBURGER WEG / ULRIKENSTR. / LUTONE,1,2017,23,13.17760215,52.52536303333333,,4,,,4871549-4999770-4999774-9932084
SEEGEFELDER WEG,1,2017,23,13.1479859287465,52.5452591635671,0.35101677362424855,1,2877.2540483103,4744.54366368541,5000155
SEEGEFELDER WEG / ALFONS-LOEWE-STR.,1,2017,23,13.1335757,52.5489738,,2,,,5000155-5008745
SEEGEFELDER WEG / HAMBURGER STR.,1,2017,23,13.131663,52.5495081,,2,,,5000155-5008741
SEEGEFELDER WEG / KLOSTERBUSCHWEG / AM KIESTEICH,1,2017,23,13.157854075,52.543075,,3,,,4884672-4884674-5000155
SELBITZER STR.,1,2017,23,13.1245352214672,52.4581220722442,0.0,1,1699.5261700769,3399.0523401538,4900137
SPANDAUER STR.,1,2017,23,13.1488652194602,52.5351842087501,0.0,1,2145.20508193129,4290.41016386258,8023387
STRAßBURGER STR.,1,2017,23,13.1975465612973,52.529972306535,0.0,1,551.98159701103,1103.96319402206,27355251
UFERPROMENADE,1,2017,23,13.1176739860168,52.4682963565627,0.0,1,1331.42401170045,2662.8480234009,24246844
WEINMEISTERHORNWEG / WILHELMSTR.,3,2017,23,13.1715906,52.5110208,,2,,,4483958-4483961
WEIßENBURGER STR.,1,2017,23,13.1977341317861,52.5229698987495,0.0,1,715.06308859028,1430.12617718056,4609211
WILHELMSTR.,2,2017,23,13.1860880900345,52.5200948305075,0.5326757300744354,1,4380.24238068508,6427.235953335752,4483961
ALBRECHT-ACHILLES-STR. / DAHLMANNSTR. / KURFÜRSTENDAMM,2,2017,24,13.3038401,52.4993243,,3,,,4372493-4389412-4474890
ALT-LIETZOW / WARBURGZEILE,1,2017,24,13.3115106,52.5178671,,2,,,4556841-4556844
ALT-LIETZOW / WINTERSTEINSTR.,2,2017,24,13.3065072,52.5181014,,2,,,4410420-4556841
ARCOSTR.,1,2017,24,13.308342502571,52.5191890494065,0.0,1,196.57757950692,393.15515901384,4586185
BERNHARD-LICHTENBERG-STR. / HECKERDAMM,1,2017,24,13.297550000000001,52.53948,,2,,,4068114-4536962
BISMARCKSTR.,4,2017,24,13.3091648110692,52.5116832161362,1.0,1,3233.10074644823,3233.10074644823,4400423
BISMARCKSTR. / KAISERDAMM / SCHLOßSTR. / SUAREZSTR.,6,2017,24,13.297360148850549,52.510945663007156,,4,,,4396011-4400423-4436950-4475630
BISMARCKSTR. / KAISER-FRIEDRICH-STR.,2,2017,24,13.301579499999999,52.511165250000005,,2,,,4400423-4436919
BISMARCKSTR. / KRUMME STR.,2,2017,24,13.3093183,52.5116926,,2,,,4400423-4436885
BISMARCKSTR. / RICHARD-WAGNER-STR. / SESENHEIMER STR.,4,2017,24,13.307491225,52.511702125,,3,,,4400423-4410427-24320620
BONHOEFFERUFER,1,2017,24,13.2993176162051,52.5223298116397,0.6883307604491296,1,516.012697636328,676.8379827072356,4764121
BONHOEFFERUFER / MIERENDORFFSTR. / SCHLOßBRÜCKE / SCHLOßBRÜCKENSTEG,1,2017,24,13.3003962837258,52.52245625502445,,3,,,4446701-4603721-4764121
BRAHESTR. / TEGELER WEG,1,2017,24,13.2968169,52.5284768,,2,,,4446635-4446722
BRANDENBURGISCHE STR. / KURFÜRSTENDAMM / LEWISHAMSTR.,2,2017,24,13.307094,52.500043725,,3,,,4389412-4389663-4436888
BRAUHOFSTR.,1,2017,24,13.3042444177228,52.5191332646423,0.0,1,304.729366365838,609.458732731676,4495200
CHARLOTTENBURGER UFER / LUISENPLATZ / SCHLOßBRÜCKE / SCHLOßBRÜCKENSTEG,1,2017,24,13.2997903,52.521357,,3,,,4446695-4446701-4475672
CHRISTSTR. / DANCKELMANNSTR.,1,2017,24,13.2905065,52.5166679,,2,,,4515893-15920077
