street,count,year,directorate,lat,lng,features
AM SCHÄFERSEE / RESIDENZSTR.,1,2015,12,13.3640953,52.5640676,4594653-4638298
AMENDESTR.,1,2015,12,13.3691434651511,52.5687017479048,4637899
AMSELGRUND / HERMSDORFER DAMM,1,2015,12,13.2914461,52.6070797,4540161-4804658
ARTUSWALL / PFADFINDERWEG,1,2015,12,13.2713398,52.629003,16857792-16857794
AVENUE CHARLES DE GAULLE,1,2015,12,13.3195318218214,52.6014889249063,4766096
BENEDIKTINERSTR. / SIGISMUNDKORSO,1,2015,12,13.2728337,52.6308627,16857795-16857796
BENEKENDORFFSTR. / GUTACHSTR.,1,2015,12,13.3236668,52.6093216,4802408-4802439
BERLINER STR.,5,2015,12,13.2840060021578,52.6650684434129,5051463
BERLINER STR. / HERMSDORFER DAMM,1,2015,12,13.2961414,52.639978049999996,4540161-5051463
BERLINER STR. / ROBINIENWEG,2,2015,12,13.30029,52.6368487,4804482-5051463
BERLINER STR. / SCHILDOWER STR.,1,2015,12,13.30438775,52.642537250000004,4805066-5051463
BERLINER STR. / WALDSEEWEG,2,2015,12,13.29836595,52.63974665,5051463-28817923
BLOMBERGER WEG,1,2015,12,13.3263770776552,52.5982046946769,4765876
BRODERSENSTR. / TESSENOWSTR.,1,2015,12,13.3422043,52.582784,4675254-4675278
BÜCHSENWEG,1,2015,12,13.3682700994019,52.5754332166677,4637909
BURGFRAUENSTR.,1,2015,12,13.3004755934329,52.6263783167185,4804925
BURGFRAUENSTR. / IM FISCHGRUND / FISCHGRUNDBRÜCKE,1,2015,12,13.2944173,52.62949735,4804925-5942803-16902540
CYCLOPSTR.,1,2015,12,13.3282422145378,52.5995660403983,4765877
DANNENWALDER WEG,3,2015,12,13.3515617663174,52.5922282537,4765352
DEUTSCHE STR. / FRIEDRICH-WILHELM-STR. / RESIDENZSTR.,2,2015,12,13.3617793,52.5685157,4594653-4638308-48906754
DIANASTR. / ORANIENDAMM / ZEHNTWERDERWEG,1,2015,12,13.3180277,52.6113276,9774898-25799886-332561057
DRONTHEIMER STR. / RITTERLANDWEG / SOLDINER STR. / PROVINZSTR.,1,2015,12,13.3770424,52.5607568,4610130-4610131-4610132-8150022
EICHBORNDAMM,2,2015,12,13.3209782647302,52.5841232253749,4678199
EICHBORNDAMM / ORANIENBURGER STR. / WILHELMSRUHER DAMM,2,2015,12,13.332948349999999,52.5954217,4071964-4678199-4765110
EICHHORSTER WEG,4,2015,12,13.3411793,52.6000307,4802786
EMMENTALER STR.,1,2015,12,13.3600166278863,52.5700783585869,4638312
EMMENTALER STR. / KLEMKESTR.,1,2015,12,13.3685047,52.5743501,4071972-4638312
EMMENTALER STR. / THURGAUER STR.,1,2015,12,13.358147,52.5695269,4638312-4638320
FALKENTALER STEIG,1,2015,12,13.297753345173,52.6249519713533,4804837
FELLBACHER STR.,1,2015,12,13.3049867686126,52.6165992813848,4804563
FLOTTENSTR. / KOPENHAGENER STR.,1,2015,12,13.3609569,52.5770035,33927189-37142126
